"文件","类别","批次","状态","说明","原图宽","原图高","原始来源"
"01-静态分镜/3721e0ecba-分镜03-人物资产制作章节标题-v6-石刻弧纹.png","01-静态分镜","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v6-石刻弧纹.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-de9145fe-e820-4135-a5b3-6de2c4f7869b.png"
"05-制作字样/a1ddcd77c0-分镜03-章节标题-喜鹊古字典体字样参考.png","05-制作字样","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1800","850","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-章节标题-喜鹊古字典体字样参考.png"
"05-制作字样/9ba0593a0a-分镜04-v3-文楷标签字样.png","05-制作字样","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","720","543","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-v3-文楷标签字样.png"
"05-制作字样/8062214f76-分镜04-v4-寒蝉活仿楷标签字样.png","05-制作字样","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","620","474","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-v4-寒蝉活仿楷标签字样.png"
"05-制作字样/eb3e6e509b-分镜04-人物小传-喜鹊古字典体字样参考.png","05-制作字样","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1200","900","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传-喜鹊古字典体字样参考.png"
"01-静态分镜/5e797589ad-分镜04-人物小传与提示词-v1.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v1.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-0106c652-4022-41e2-aac8-0d22a7dc7795.png"
"01-静态分镜/ed8a247e54-分镜04-人物小传与提示词-v2-通屏左对齐.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v2-通屏左对齐.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-60cd1597-5af0-4b93-92f6-2f09342d790f.png"
"01-静态分镜/3e593e4166-分镜04-人物小传与提示词-v3-文楷标签.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v3-文楷标签.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-95ceaee9-9a17-43f1-b81e-f17a58636003.png"
"01-静态分镜/afc2659984-分镜04-人物小传与提示词-v4-寒蝉小标题.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v4-寒蝉小标题.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-4bfd2ed2-01da-4941-9952-71b859ae5cd0.png"
"01-静态分镜/8a6ee4d224-分镜04-人物小传与提示词-v5-标签再缩小.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v5-标签再缩小.png
/Users/zimu/Documents/ChatGPT/分镜Skill测试/output/分镜工作台/S02/v08-0a2223/.制作参考/S02-v08-寒蝉标签字号参考.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-8dab75d2-f0c5-4247-bf0c-6eabaa687844.png"
"01-静态分镜/713ccd1f24-分镜04-人物小传与提示词-v6-标签等宽居中.png","01-静态分镜","分镜04","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜04-人物小传与提示词-v6-标签等宽居中.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-1db489a6-89e4-4807-9791-cdd933396cd1.png"
"01-静态分镜/f75859e959-分镜05-表格样式-v1-浅色黑框.png","01-静态分镜","分镜05","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜05-表格样式-v1-浅色黑框.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-ffb2eab4-137e-4def-9dfe-ee26f75043e3.png"
"01-静态分镜/1477bff9f4-分镜05-表格样式-v1-黑石白框.png","01-静态分镜","分镜05","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜05-表格样式-v1-黑石白框.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-6e837eab-20f8-49be-b5dd-2db1dab4b727.png"
"01-静态分镜/a76dfd0f35-分镜05-表格样式-v2-浅色紧凑版.png","01-静态分镜","分镜05","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜05-表格样式-v2-浅色紧凑版.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-37c7ddf0-3bf8-4582-bfb6-5329b4f690cd.png"
"01-静态分镜/4ee4b93c9c-分镜05-表格样式-v2-黑石紧凑版.png","01-静态分镜","分镜05","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜05-表格样式-v2-黑石紧凑版.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-d1b09f0f-5efa-4d87-b6e3-7279fd7422ff.png"
"05-制作字样/3d34f198c1-分镜05-表格页-标题与正文真字体参考.png","05-制作字样","分镜05","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1600","850","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜05-表格页-标题与正文真字体参考.png"
"05-制作字样/c6a6971d6f-分镜06-AI视频生成方式-v1-字样.png","05-制作字样","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1400","430","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v1-字样.png"
"01-静态分镜/4b7285cb59-分镜06-AI视频生成方式-v1-黑白排线.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v1-黑白排线.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-a1d370e4-4822-4569-8203-9d30932c92f5.png"
"01-静态分镜/8725bcc54f-分镜06-AI视频生成方式-v10-精细复古版画.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v10-精细复古版画.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-5ee3d9c7-4423-441c-90aa-21d77d802c7d.png"
"01-静态分镜/65d141b21e-分镜06-AI视频生成方式-v12-全新油画配图.png","01-静态分镜","分镜06","对应效果获明确认可","见实操复盘的对应回合；仅表示该次设计或位置选择。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v12-全新油画配图.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-dca993f8-3ff3-409c-af79-3ffd98254e15.png"
"01-静态分镜/14f1f18204-分镜06-AI视频生成方式-v2-上下相连竖卡.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v2-上下相连竖卡.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-87332513-b0ee-4cb8-96fe-9ff7f965884e.png"
"01-静态分镜/6968f1bac3-分镜06-AI视频生成方式-v3-完整场景与缺墨边框.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v3-完整场景与缺墨边框.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-13ade2c9-3eef-4c9c-a429-653f14911962.png"
"01-静态分镜/8d2a664c50-分镜06-AI视频生成方式-v4-缩小与轻微不规则边缘.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v4-缩小与轻微不规则边缘.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-2ddd9373-0ef3-43f7-afa4-32048dcd6e60.png"
"01-静态分镜/5e93d89170-分镜06-AI视频生成方式-v5-整体上移留字幕区.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v5-整体上移留字幕区.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-98082372-7fd7-46f8-afdd-1d4d64926f0f.png"
"01-静态分镜/d7bfff9725-分镜06-AI视频生成方式-v6-位置折中.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v6-位置折中.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-a4a8d6af-6c41-4323-a635-3e86a11db98b.png"
"01-静态分镜/c13e7e14cb-分镜06-AI视频生成方式-v7-原版整体上移.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v7-原版整体上移.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-dcbd08b3-cff0-47ff-8d06-286b7c4219a4.png"
"01-静态分镜/e58882f61a-分镜06-AI视频生成方式-v8-原图平移折中.png","01-静态分镜","分镜06","对应效果获明确认可","见实操复盘的对应回合；仅表示该次设计或位置选择。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v8-原图平移折中.png"
"01-静态分镜/fa2d501bb7-分镜06-AI视频生成方式-v9-简化抽象排线.png","01-静态分镜","分镜06","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜06-AI视频生成方式-v9-简化抽象排线.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-32fbcc56-7962-47f8-b760-ed94d17509c5.png"
"02-动效版本/da1856fecd-S02-v01-资产分离.mp4","02-动效版本","测试-S02","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜工作台/S02/视频/v01-492bfe/S02-v01-资产分离.mp4"
"02-动效版本/6711d352ac-S02-v02-资产融合.mp4","02-动效版本","测试-S02","运动获认可／播放时机后续修改","肯定文字动作后，要求视频从淡入开始播放。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜工作台/S02/视频/v02-47db75/S02-v02-资产融合.mp4"
"02-动效版本/1712a0375d-S02-v03-资产融合.mp4","02-动效版本","测试-S02","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜工作台/S02/视频/v03-ffad1f/S02-v03-资产融合.mp4"
"01-静态分镜/71c3d9f9d6-喜鹊古字典体-prompt与紧行距参考.png","01-静态分镜","output","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1000","600","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/喜鹊古字典体-prompt与紧行距参考.png"
"05-制作字样/96403cebe3-喜鹊古字典体-本镜字样参考.png","05-制作字样","output","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1600","1000","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/喜鹊古字典体-本镜字样参考.png"
"01-静态分镜/af89785404-01-人物资产组成部分-胶囊卡片.png","01-静态分镜","圆角形状试样-v1","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圆角形状试样-v1/01-人物资产组成部分-胶囊卡片.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-f8ccfc7f-5da6-4bf9-9fa3-f9ebd5fd3caa.png"
"01-静态分镜/47b206ab23-02-人物小传-右上圆角标签.png","01-静态分镜","圆角形状试样-v1","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圆角形状试样-v1/02-人物小传-右上圆角标签.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-8455f778-3b44-4e7f-802d-e2d957521a51.png"
"01-静态分镜/55a8372f63-03-AI视频生成方式-3比4拱形卡片.png","01-静态分镜","圆角形状试样-v1","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圆角形状试样-v1/03-AI视频生成方式-3比4拱形卡片.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-24ceabdd-41f7-4bc9-960c-38cd6d6adb6d.png"
"02-动效版本/38eeb573d7-圈线与双箭头生长-1秒-v1.mp4","02-动效版本","output","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圈线与双箭头生长-1秒-v1.mp4"
"02-动效版本/a60c455a3c-圈线与双箭头生长-3秒-v2.mp4","02-动效版本","output","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圈线与双箭头生长-3秒-v2.mp4"
"02-动效版本/6e936161f7-圈线与双箭头生长-3秒-v3-慢快慢.mp4","02-动效版本","output","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圈线与双箭头生长-3秒-v3-慢快慢.mp4"
"02-动效版本/b5b6cbabd7-圈线与箭头生长-2秒-v4-错开3帧.mp4","02-动效版本","output","历史视频版本","保留原输出作过程比较；不推定每版都经用户采用。","","","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/圈线与箭头生长-2秒-v4-错开3帧.mp4"
"01-静态分镜/ce714fdea4-分镜01-人物对比-纸质相框-v1.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/相框样式试样-v1/分镜01-人物对比-纸质相框-v1.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-1543ce25-b1b3-46da-a3c0-6d60f90aca80.png"
"05-制作字样/2038437cf3-汇文明朝体-相框文字字样.png","05-制作字样","相框样式试样-v1","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","960","300","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/相框样式试样-v1/汇文明朝体-相框文字字样.png"
"01-静态分镜/a2276b8edf-配图06-图生图-v12-全新油画.png","01-静态分镜","output","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1254","1254","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/配图06-图生图-v12-全新油画.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-67ee8246-4ac8-4b25-aa66-33a1747d2f93.png"
"01-静态分镜/0e5e344539-配图06-文生图-v12-全新油画.png","01-静态分镜","output","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1254","1254","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/配图06-文生图-v12-全新油画.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-3e0b2e1b-e998-4a9c-8d00-2a02280e2234.png"
"01-静态分镜/044459916a-Group-143-复古纸张正色版-v2.png","01-静态分镜","纸张配图","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1254","1254","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/素材/复古纸张Logo/Group-143-复古纸张正色版-v2.png
/Users/zimu/.codex/generated_images/01a099c9-bc06-7f63-aeab-00786b566910/exec-7ea1ede5-2bd6-46bc-9cc2-98ffd2934a60.png"
"01-静态分镜/44a44c435d-可灵AI-复古纸张版.png","01-静态分镜","纸张配图","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1254","1254","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/素材/复古纸张Logo/可灵AI-复古纸张版.png
/Users/zimu/.codex/generated_images/01a099c9-bc06-7f63-aeab-00786b566910/exec-3190cdcc-4694-48c7-8507-a3878ee1dc10.png"
