[00:00 - 00:06] 所有的关于AI视频的课 都是把一个没有门槛的东西 包装成了有门槛的样子 然后卖给你 很简单啊
[02:12 - 02:21] 你把这个角色的形容或者参考给AI AI就会给你一段这样的提示词 然后呢在这里我们需要点击竖版啊 这是一个竖版的 千万不要16比九啊
[02:21 - 02:24] 九比16 兄弟们 九比16 九比16 点击生成OK图就出来了
[02:24 - 02:32] 大概是这个样子啊 一个牛妈妈啊 你可能会说这个跟原作的那个完全不一样 那是因为我在这个风格里面 描述里面稍微带了点自己的设计啊
[02:32 - 02:39] 比如说这个脑子上面带了点花啊 头巾啊 然后穿点衣服什么的啊 总而言之这个平时非常稳定 然后你就啪啊全部都生成出来就可以了
[02:39 - 02:48] 你可以看到这个质量还是非常不错的 完全没有GPT的那种非常死亡的细节 然后这些提示词 如果你们想要的话 我也会同样分享在评论区啊
[02:48 - 02:56] 实际上没什么 那如果你想单独针对这个人设的某一个东西 进行修改 比如说我不想要牛妈妈头上这个花了 怎么做呢
[02:56 - 03:03] 非常简单 就是这个加号看到没有 把拖出来图片生成 OK你的键盘上面shift加2号键 艾特这个东西
[03:03 - 03:12] 删除头上的菊花啊 出来了就没有菊花了 就是嗯就很简单好吧 然后我们我们就继续好吧 我们该升视频了
[03:12 - 03:20] OK然后接下来要升视频啊 生视频 首先你得有剧本是吧 所以说我们得先手敲一段剧本 这个剧本是用来告诉AI这一段视频里面记好啊
[03:20 - 03:27] 相机怎么动 角色在干什么 画面怎么拍 当你专注这三件事情的时候 你应该能写出这一段东西啊
[03:27 - 03:34] 应该可以吧 在森林里面 一个人畏畏缩缩的前行 然后呢你要告诉他画面朝向是在哪里 画面是在什么角度拍摄的
[03:36 - 03:45] 然后画面的焦点在什么地方 然后呢周围的环境 随后蛇的声音突然从左向右闪过镜头 然后就是在这基础上 第二个镜头是什么啊
[03:45 - 03:50] 第三个第四个第五个镜头 你把它全部写完 然后最后呢我们就会得到一个这样子的嗯 这个东西叫什么呢 我也不知道
[03:50 - 03:56] 可能叫调度吧 当然有的小伙伴会说啊 哎呀哦我不会分镜啊 怎么告诉AI 就是第一个镜头是这样
[03:56 - 04:01] 第二个镜头是这样子 这个这两个镜头之间为什么能衔接上 哎呀我完全没学过 我不懂啊 怎么办啊啊没有关系
[04:01 - 04:09] 我我同样给你整理了一个skill 兄弟们非常简单 就是首先把你这些写的东西全部复制 打开你的agent啊 我用的是什么呢
[04:09 - 04:17] 我用的是扣子非常少的人用扣子啊 反正我用的是扣子 把你刚才的东西复制进去是吧 然后使用技能啊 这是我自己做的
[04:17 - 04:27] 其实是写手点击发送 然后我们就可以通过这个skill拿到一个 可以直接丢进SEDANCE里面 用于生成的提示词 这套提示词是跟我用于做永恒黄昏的
[04:27 - 04:32] 那一套提示词是完全一样的 色调啊 质感啊 然后锚定 然后得到一大堆东西
[04:32 - 04:38] 所以现在我们要生成视频了 只要把三个东西都框选 然后点这个加号拖出来 视频生成左下角的模型 你可以选2.5
[04:38 - 04:44] 也可以选2.0 实际上都一样 我的内容是来到了我看一下啊 来来到了23秒 所以说2.5的话
[04:44 - 04:55] 可以直接生成23秒的视频 我们点一下就可以了 然后在参考图锚定这里 我们可以把这个给换成牛奶 然后把这个给换成蛇啊
[04:55 - 05:03] 这一步就是精确的告诉AI 你上传的参考图是谁啊 你告诉他这是牛来 他的人设是什么样子 然后你告诉他严格保持一致
[05:03 - 05:14] 很多人说AI做视频角色一致性有很大问题 实际上这个在如今真的不是什么什么事情了啊 你只需要这一步给他做一个锚定 然后一致性基本就稳住了 不可能出错的
[05:14 - 05:21] 然后呢 接下来这个skill会帮你写人物性格指令 这些东西的话 他都会给你啊判断出来 这个音频规则也会给你判断出来
[05:21 - 05:27] 比如说没有BGM 关于环境音和关键音效 它也会推理出来 比如说这个林间的风声 草叶沙沙声
[05:27 - 05:34] 蛇穿梭鱼 草丛的声音之类的都有 然后就是硬规则区啊 硬规则区会比较模板 但是也是挺OK的
[05:34 - 05:42] 比如说纯侧面的构图 我一般不喜欢 所以说我在SKU里面让它明令禁止生成 纯侧面的90度的那种侧面构图啊 没有这种东西
[05:42 - 05:53] 然后最后呢 这个skill会让AI去根据你描述的那些剧本内容 去推断出角色的站位啊 这一块相当于是站位 很多人都说哇AI生成连续的视频
[05:53 - 06:03] 角色的站位互相关系会错位 然后我们需要用分镜 故事版或者导演台或者站位图来锚定 但实际上你在skill里面写上这个东西就可以了 就可以了
[06:03 - 06:10] 就角色的站位就就就就OK了 你知道吗 就不需要不需要那些东西 我发现不需要那些东西 然后紧接着他会把你刚才说的那些调度啊
[06:10 - 06:20] 给做成这种比较体系化的 适合C单词阅读的提示词啊 你可以看到嗯 还是比较规整的吧对吧 然后你只需要点击生成
[06:35 - 06:55] 我我我妈咪 OK以上就是我大概制作的一个流程啊 你可以发现就是整个流程中 对于屏幕面前的人来说 唯一需要你干涉的这个需求的这一步
[06:55 - 07:02] 这不是你自己干涉 是你自己想出来的 其余的你都可以通过自己做一个skill 或者直接用我的skill啊 把重复的工作给代替掉
[07:02 - 07:10] 所以在视频的开头我就说了 在现如今啊 2026年了 这AI生成视频这件事情本身确实不要避雷 你需要做的只是打几行字
[07:10 - 07:18] 然后选几个你觉得OK的skill 那壁垒在哪里呢 我一直在想壁垒在哪里 那很简单 就是因为最后审核这个画面的人是你
[07:18 - 07:27] 然后你的审美对于一个片子最后生成出来 这个镜头衔接 你能不能理解它是不是顺畅的啊 你的把控标准 最终决定了你端出来的是什么样子的片子啊
[07:27 - 07:37] 壁垒在这个地方就又回到导演自己身上了啊 你们能理解吗 所以我知道这个频道里面有很多画画的兄弟们 你们对于AI是抱有一定排斥的 抱有一定抵触心理的
[07:37 - 07:43] 但是啊听我这么说下来 如果你能看到这里的话 那你会不会觉得它同样是一个工具 10分钟 现在这个视频有没有10分钟
[07:43 - 07:52] 我都不知道可能没有10分钟 是不是大家都会了 非常简单 然后接下来我再演示一下 我正常的就做永恒黄昏那个剧集的工作流程
[07:52 - 08:01] 一般来说我会先做一个这样子的剧本 总之这一段就是两个角色阿祖拉和金世女 她们两个在互相对话的这么一段剧本啊 有台词 然后有角色的反应
[08:01 - 08:08] 那我们现在要把这个东西先变成调度 再喂给AI 变成提示词 然后提示词出呃 视频大概就这么一个流程吧
[08:08 - 08:17] 所以如果是你的话 大家可以想一下你会怎么样去分镜 OK那对于我来说 我的调度就会变成七个镜头啊 第一个镜头呢先交代全景
[08:17 - 08:27] 画面从一个大全景的金色草廊开始啊 他们坐在草地上嘛 首先是谁的景别 其次这个角色朝向是哪边相机啊 俯拍还是正拍
[08:27 - 08:37] 侧拍仰拍 你也得告诉他画面的前景是什么东西啊 画面的前景是刚才上一个特写的 钻入画面的那个健身女嗯 她的动作是什么样子
[08:37 - 08:45] 画面焦点的动作是什么样子 然后随后他做了什么动作 然后说了什么话 这个就是一段非常标准的 你喂给我那个scale啊
[08:45 - 08:51] 应该说的话 你可以看到接下来 实际上每个镜头都是这个样子的 然后当你写完这一段调度之后 你就复制它
[08:51 - 09:01] 然后skill就会帮我们 把我们刚才的调度转换成c dance 能够听懂的提示词 打开我们的tap now 然后输入输入输入输入全部全部放进去
[09:01 - 09:13] 点击三层hmm What so the bakerboy stops me Yesterday Asks me Very serious
[09:13 - 09:18] Is your friend A statue I said Yes A very rude one
[09:18 - 09:40] I bowed back once He ran 嗯哼哼哼 We used to get more days like this OK那么以上就是我做AI视频一个月啊
[09:40 - 09:47] 沉淀下来的所有方法啦 你们觉得怎么样 这期视频所用到的提示词 还有skill 我会打包放在评论区里面啊
[09:47 - 09:56] 但是好像这样子会被限流 我在我在想一个办法能够不限流的办法啊 你们评论吧 评论之后我每个私信单独发好吧 我愈发觉得就是这个在真正稀缺的
[09:56 - 10:00] 那不是技术力 不是实力 你让两个完全不同的人 用同样的模型 同样的工具
[10:00 - 10:05] 同样的剧本去生成一段戏 很可能得到的是完全不一样 大相径庭的东西 所以差别在哪呢 非常简单
[10:05 - 10:15] 就一件事情就是你对影视这个东西了解有多少 你能提出多准确的需求 调度多复杂的场面啊 所以我在之前的一期视频里面也讲过 就是我之前画漫画呃
[10:15 - 10:23] 所积攒的很多关于这方面的知识 能够让我无缝的衔接过来 做AI视频 我相信我的频道里面有很多画漫画 然后对画画感兴趣的兄弟
[10:23 - 10:33] 你们脑子里应该也有很多这样子类似的知识 如果我是说如果你对AI不是那么抵触的话 看了我这期视频 不妨去尝试一下 用我的办法去做一段自己的短片
[10:33 - 10:40] 真的你会发现新大陆 我不知道这期视频有多久啊 但我觉得大概率不会超过10分钟 或者就10分钟左右 所以是不是跟我一开始说的一样
[10:40 - 10:52] 一个不会做AI视频的人和做会做AI视频的人 中间真的就差10分钟的教学 所以回到开头 我最开始那句话就是 不要去买任何教你怎么用AI生成视频的课
[10:52 - 11:04] 因为这些东西10分钟就能讲完啊 当然那些课里面如果带了导演相关的知识的话 嗯那另当别论啊 当然CDAS也可以做到很多其他花式的小技巧啊 你的提示词也可以写出更花的更复杂的调度
[11:04 - 11:14] 所以如果你想看这套架构怎么调出更狠的戏 或者说如果你想学打戏之类的 提示词怎么写的话 也可以点一下关注啊 我们下一期再做这期视频的话
[11:14 - 11:17] 就先到这里结束了 喜欢的话 长按点赞一键三连 我们下期再见 拜拜
